ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
1490,1490,280,,,
1499,1499,285,,,
1500,1500,285,,,
1501,1501,285,,,
1502,1502,285,,,
1503,1503,285,,,
1507,1507,285,,,
1508,1508,285,,,
1509,1509,285,,,
1510,1510,285,,,
1514,1514,285,,,
1515,1515,285,,,
1517,1517,285,,,
1519,1519,285,,,
1520,1520,285,,,
1521,1521,285,,,
1524,1524,285,,,
1525,1525,285,,,
1526,1526,285,,,
1527,1527,285,,,
1528,1528,285,,,
1530,1530,285,,,
1531,1531,285,,,
1533,1533,285,,,
1534,1534,285,,,
1535,1535,285,,,
1536,1536,285,,,
1537,1537,285,,,
1538,1538,285,,,
1539,1539,285,,,
1540,1540,286,,,
1542,1542,286,,,
1543,1543,286,,,
1544,1544,285,,,
1545,1545,285,,,
1546,1546,285,,,
1547,1547,285,,,
1549,1549,285,,,
1551,1551,285,,,
1557,1557,286,,,
1558,1558,286,,,
1559,1559,285,,,
1560,1560,285,,,
1562,1562,287,,,
1564,1564,287,,,
1565,1565,287,,,
1569,1569,287,,,
1570,1570,287,,,
1571,1571,285,,,
1573,1573,288,,,
1583,1583,286,,,
1585,1585,286,,,
1587,1587,286,,,
1588,1588,286,,,
1590,1590,286,,,
1591,1591,286,,,
1595,1595,286,,,
1602,1602,286,,,
1605,1605,286,,,
1608,1608,289,,,
1610,1610,295,,,
1611,1611,297,,,
1612,1612,295,,,
1615,1615,298,,,
1616,1616,299,,,
1617,1617,299,,,
1618,1618,295,,,
1622,1622,290,,,
1623,1623,295,,,
1625,1625,299,,,
1627,1627,295,,,
1628,1628,299,,,
1629,1629,295,,,
1631,1631,300,,,
1632,1632,295,,,
1633,1633,295,,,
1634,1634,295,,,
1635,1635,300,,,
1636,1636,295,,,
1637,1637,295,,,
1638,1638,295,,,
1639,1639,295,,,
1640,1640,295,,,
1641,1641,295,,,
1642,1642,295,,,
1643,1643,295,,,
1644,1644,300,,,
1645,1645,301,,,
1647,1647,301,,,
1648,1648,301,,,
1649,1649,295,,,
1650,1650,295,,,
1651,1651,302,,,
1652,1652,303,,,
1654,1654,303,,,
1657,1657,291,,,
1658,1658,292,,,
1659,1659,303,,,
1661,1661,303,,,
1662,1662,293,,,
1663,1663,294,,,
1670,1670,303,,,
1671,1671,296,,,
1672,1672,296,,,
1673,1673,303,,,
1677,1677,303,,,
1684,1684,295,,,
1688,1688,295,,,
1699,1699,304,,,
1700,1700,304,,,
1701,1701,304,,,
1702,1702,304,,,
1703,1703,304,,,
1704,1704,304,,,
1708,1708,304,,,
1709,1709,304,,,
1710,1710,304,,,
1711,1711,315,,,
1715,1715,314,,,
1716,1716,315,,,
1719,1719,304,,,
1720,1720,304,,,
1722,1722,304,,,
1723,1723,314,,,
1724,1724,316,,,
1727,1727,304,,,
1728,1728,304,,,
1729,1729,304,,,
1730,1730,304,,,
1731,1731,317,,,
1734,1734,304,,,
1735,1735,318,,,
1737,1737,304,,,
1738,1738,304,,,
1739,1739,304,,,
1740,1740,304,,,
1741,1741,304,,,
1742,1742,304,,,
1743,1743,304,,,
1744,1744,319,,,
1747,1747,319,,,
1748,1748,319,,,
1749,1749,305,,,
1750,1750,306,,,
1751,1751,304,,,
1752,1752,307,,,
1754,1754,308,,,
1756,1756,304,,,
1763,1763,309,,,
1764,1764,304,,,
1765,1765,304,,,
1766,1766,304,,,
1769,1769,310,,,
1773,1773,304,,,
1778,1778,311,,,
1779,1779,311,,,
1780,1780,312,,,
1782,1782,313,,,
1793,1793,304,,,
1795,1795,304,,,
1797,1797,304,,,
1798,1798,304,,,
1800,1800,304,,,
1801,1801,304,,,
1804,1804,304,,,
1811,1811,304,,,
1814,1814,304,,,
1817,1817,304,,,
1828,1828,321,,,
1829,1829,321,,,
1830,1830,321,,,
1831,1831,321,,,
1832,1832,321,,,
1836,1836,321,,,
1837,1837,321,,,
1838,1838,321,,,
1839,1839,321,,,
1843,1843,321,,,
1844,1844,321,,,
1846,1846,321,,,
1848,1848,321,,,
1849,1849,321,,,
1850,1850,321,,,
1853,1853,322,,,
1854,1854,322,,,
1855,1855,322,,,
1856,1856,322,,,
1857,1857,322,,,
1859,1859,322,,,
1860,1860,322,,,
1862,1862,322,,,
1863,1863,322,,,
1864,1864,322,,,
1865,1865,322,,,
1866,1866,322,,,
1867,1867,322,,,
1868,1868,322,,,
1869,1869,320,,,
1871,1871,320,,,
1872,1872,320,,,
1873,1873,320,,,
1874,1874,320,,,
1875,1875,320,,,
1876,1876,320,,,
1878,1878,320,,,
1880,1880,320,,,
1886,1886,320,,,
1887,1887,320,,,
1888,1888,323,,,
1889,1889,323,,,
1892,1892,320,,,
1894,1894,320,,,
1898,1898,320,,,
1899,1899,320,,,
1901,1901,320,,,
1912,1912,320,,,
1914,1914,320,,,
1916,1916,320,,,
1917,1917,320,,,
1918,1918,320,,,
1919,1919,320,,,
1923,1923,320,,,
1929,1929,321,,,
1932,1932,321,,,
1935,1935,321,,,
1940,1940,332,,,
1941,1941,336,,,
1942,1942,337,,,
1943,1943,337,,,
1944,1944,337,,,
1945,1945,338,,,
1946,1946,339,,,
1949,1949,340,,,
1950,1950,340,,,
1951,1951,340,,,
1952,1952,341,,,
1954,1954,341,,,
1955,1955,341,,,
1957,1957,340,,,
1960,1960,340,,,
1961,1961,341,,,
1962,1962,341,,,
1965,1965,325,,,
1966,1966,341,,,
1967,1967,325,,,
1968,1968,324,,,
1969,1969,341,,,
1970,1970,340,,,
1972,1972,341,,,
1973,1973,325,,,
1974,1974,341,,,
1976,1976,341,,,
1977,1977,340,,,
1978,1978,324,,,
1979,1979,325,,,
1980,1980,325,,,
1981,1981,325,,,
1982,1982,341,,,
1983,1983,324,,,
1984,1984,326,,,
1985,1985,326,,,
1986,1986,327,,,
1987,1987,341,,,
1988,1988,341,,,
1989,1989,341,,,
1990,1990,328,,,
1992,1992,328,,,
1994,1994,329,,,
2000,2000,325,,,
2001,2001,330,,,
2002,2002,331,,,
