ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
17934,17934,949,,,
50707,50707,53,,,
17940,17940,28,,,
67094,67094,1695,,,
50711,50711,1468,,,
31149,31149,991,,,
43951,43951,1069,,,
17949,17949,1865,,,
1568,1568,60,,,
34338,34338,1573,,,
50723,50723,834,,,
67108,67108,941,,,
17957,17957,905,,,
17959,17959,117,,,
63068,63068,398,,,
55700,55700,941,,,
34348,34348,249,,,
67117,67117,25,,,
5725,5725,1410,,,
34353,34353,1678,,,
1586,1586,588,,,
2995,2995,1149,,,
67125,67125,342,,,
41226,41226,648,,,
35765,35765,1557,,,
50752,50752,774,,,
67137,67137,1251,,,
57611,57611,88,,,
50758,50758,633,,,
34375,34375,1741,,,
50760,50760,1104,,,
67145,67145,808,,,
34378,34378,139,,,
67147,67147,201,,,
67148,67148,198,,,
34381,34381,382,,,
34382,34382,787,,,
34383,34383,788,,,
34384,34384,1726,,,
34385,34385,985,,,
50770,50770,1711,,,
1619,1619,925,,,
18004,18004,601,,,
65806,65806,1347,,,
18008,18008,737,,,
67162,67162,870,,,
18011,18011,1717,,,
1628,1628,676,,,
67165,67165,787,,,
34398,34398,1384,,,
18018,18018,283,,,
18020,18020,395,,,
54886,54886,5,,,
34425,34425,1265,,,
18025,18025,955,,,
34410,34410,1619,,,
34411,34411,714,,,
67180,67180,1450,,,
18029,18029,1004,,,
39881,39881,119,,,
41235,41235,787,,,
65273,65273,908,,,
50806,50806,952,,,
1656,1656,855,,,
18041,18041,443,,,
67194,67194,1590,,,
18046,18046,649,,,
34431,34431,85,,,
34432,34432,78,,,
50817,50817,1783,,,
18050,18050,1053,,,
50819,50819,1178,,,
18052,18052,925,,,
67205,67205,1193,,,
18054,18054,1055,,,
1671,1671,623,,,
1673,1673,876,,,
1674,1674,1015,,,
24855,24855,724,,,
1676,1676,1016,,,
67213,67213,534,,,
67214,67214,355,,,
67215,67215,356,,,
1680,1680,474,,,
34453,34453,1794,,,
1686,1686,202,,,
50839,50839,239,,,
18074,18074,307,,,
67229,67229,523,,,
50846,50846,117,,,
1695,1695,1828,,,
1698,1698,409,,,
50851,50851,663,,,
34468,34468,832,,,
27590,27590,810,,,
1703,1703,542,,,
67240,67240,183,,,
67241,67241,184,,,
67242,67242,189,,,
67245,67245,83,,,
21179,21179,487,,,
65821,65821,929,,,
18096,18096,672,,,
67249,67249,157,,,
63089,63089,341,,,
1724,1724,1169,,,
1725,1725,444,,,
67267,67267,1095,,,
67269,67269,318,,,
1734,1734,1082,,,
49441,49441,420,,,
34506,34506,695,,,
34507,34507,1153,,,
34508,34508,1148,,,
34509,34509,1149,,,
34510,34510,1156,,,
67279,67279,1483,,,
18132,18132,1384,,,
50901,50901,889,,,
34518,34518,519,,,
34519,34519,517,,,
67288,67288,858,,,
34521,34521,1140,,,
34522,34522,1142,,,
67294,67294,1357,,,
18143,18143,1467,,,
67296,67296,523,,,
50914,50914,1273,,,
1764,1764,157,,,
49446,49446,1681,,,
34534,34534,889,,,
18151,18151,363,,,
1770,1770,116,,,
43704,43704,616,,,
50924,50924,47,,,
67309,67309,1033,,,
18158,18158,117,,,
50927,50927,88,,,
32479,32479,821,,,
31436,31436,1712,,,
18164,18164,697,,,
34549,34549,1318,,,
65833,65833,526,,,
34554,34554,766,,,
50939,50939,766,,,
50940,50940,771,,,
50941,50941,648,,,
34560,34560,1766,,,
50946,50946,579,,,
41259,41259,303,,,
67334,67334,765,,,
34568,34568,695,,,
67337,67337,416,,,
67341,67341,1178,,,
1806,1806,1340,,,
67344,67344,1746,,,
50961,50961,958,,,
50962,50962,956,,,
1811,1811,1136,,,
50964,50964,307,,,
50965,50965,312,,,
34582,34582,1252,,,
67351,67351,314,,,
34584,34584,729,,,
18202,18202,1842,,,
50972,50972,855,,,
50974,50974,1559,,,
18207,18207,1309,,,
33072,33072,1402,,,
67362,67362,1082,,,
18213,18213,973,,,
1834,1834,730,,,
67371,67371,471,,,
67372,67372,472,,,
34607,34607,832,,,
50995,50995,296,,,
67380,67380,1791,,,
56800,56800,1070,,,
34614,34614,640,,,
51002,51002,342,,,
35807,35807,1449,,,
1852,1852,360,,,
67389,67389,483,,,
34622,34622,1704,,,
16693,16693,1468,,,
34624,34624,322,,,
51009,51009,449,,,
67394,67394,873,,,
51011,51011,264,,,
18244,18244,148,,,
1861,1861,1736,,,
34630,34630,1211,,,
67400,67400,905,,,
67401,67401,1794,,,
67402,67402,1796,,,
37706,37706,1242,,,
1870,1870,905,,,
18255,18255,233,,,
67410,67410,1463,,,
18260,18260,42,,,
51030,51030,28,,,
16697,16697,887,,,
67417,67417,973,,,
51036,51036,1047,,,
51037,51037,1048,,,
67423,67423,423,,,
34656,34656,1291,,,
34657,34657,233,,,
14793,14793,720,,,
34659,34659,933,,,
51045,51045,1821,,,
51047,51047,1180,,,
1896,1896,942,,,
1898,1898,119,,,
67436,67436,868,,,
51054,51054,941,,,
34671,34671,475,,,
11240,11240,475,,,
1906,1906,1754,,,
18292,18292,1402,,,
18293,18293,1322,,,
19433,19433,423,,,
8511,8511,207,,,
51070,51070,982,,,
51071,51071,856,,,
49472,49472,1573,,,
47528,47528,964,,,
1155,1155,1310,,,
1925,1925,15,,,
18314,18314,666,,,
65532,65532,1265,,,
51088,51088,1327,,,
18321,18321,534,,,
51092,51092,341,,,
13977,13977,911,,,
24900,24900,958,,,
40057,40057,431,,,
34716,34716,99,,,
35824,35824,556,,,
13979,13979,980,,,
51110,51110,729,,,
1959,1959,1224,,,
5788,5788,1726,,,
63724,63724,1270,,,
34733,34733,28,,,
18353,18353,1024,,,
51122,51122,1695,,,
18355,18355,1214,,,
1972,1972,1769,,,
18357,18357,716,,,
51126,51126,748,,,
51127,51127,744,,,
30367,30367,126,,,
1980,1980,1842,,,
1981,1981,1849,,,
34750,34750,124,,,
34751,34751,125,,,
51136,51136,1227,,,
38560,38560,88,,,
18372,18372,90,,,
51141,51141,1158,,,
1990,1990,810,,,
34761,34761,1171,,,
64443,64443,314,,,
34770,34770,1690,,,
2003,2003,1766,,,
18389,18389,314,,,
15888,15888,534,,,
51159,51159,1164,,,
38564,38564,1430,,,
18395,18395,398,,,
51164,51164,859,,,
2013,2013,574,,,
2014,2014,429,,,
30073,30073,666,,,
44027,44027,128,,,
51172,51172,1067,,,
18405,18405,985,,,
18406,18406,1813,,,
34795,34795,511,,,
34796,34796,502,,,
2030,2030,1667,,,
51184,51184,759,,,
18418,18418,745,,,
18419,18419,744,,,
52222,52222,837,,,
18422,18422,1741,,,
34807,34807,980,,,
34812,34812,71,,,
51197,51197,267,,,
34814,34814,688,,,
2048,2048,1751,,,
18435,18435,1813,,,
