lang	glottcode
So-Khammouane	sooo1254
So-SakonNakhon	sooo1254
Sora	sora1254
SORBIAN_LOWER	lowe1385
SORBIAN_UPPER	uppe1395
Southern Walmajarri	
SPANISH	stan1288
Sre	sree1244
STAVANGERSK	
Stieng	bulo1242
Surigaonon	suri1273
SWEDISH	swed1254
Tagalog	taga1270
TagalogAnthonydelaPaz	taga1270
TahitianModern	tahi1242
Tangkul	tang1336
TaOi	lowe1395
Thalanyji	dhal1245
Tharrgari	dhar1247
Tikopia	tiko1237
Tongan	tong1325
Tuamotu	tuam1242
Tujia	nort2732
UKRAINIAN	ukra1253
Umpila	umpi1239
URDU	urdu1245
UveaEast	wall1257
Vietnamese	viet1252
W. Kayah	west2409
Wa-Praok	para1301
Wajarri	waja1257
Wakaya	waga1260
WalmajarriBilliluna	
WalmajarriHR	
WalmajarriNW	
Wangkangurru	wang1290
Wangkatja	pint1251
Wangkayutyuru	wang1289
Wangkumara	ngur1261
WangkumaraMcDWur	
War-Lamin	warj1242
Wardandi	ward1248
Wargamay	warr1255
Warlmanpa	warl1255
Warlpiri	warl1254
Warluwarra	warl1256
Warnman	wanm1242
Warriyangga	wari1262
Warumungu	waru1265
Warungu	waru1264
Wathawurrung	wath1238
Wathiwathi	wadi1249
Watjuk	waju1234
Western Arrarnta	west2441
WesternBukidnonManobo	west2555
Wik Mungkan	wikm1247
Wiradjuri	wira1262
Woiwurrung	woiw1237
Woleai	wole1240
Written Tibetan	tibe1272
Wulguru	wulg1239
Xiaxe Tibetan	amdo1237
Yabula Yabula	yabu1234
Yagara	yaga1262
Yalarnnga	yala1262
Yami	yami1254
Yan-nhangu	yann1237
Yandruwandha	yand1253
Yanyuwa	yany1243
Yarluyandi	yarl1238
Yawarrawarrka	yawa1258
Yeinbaw	yinb1236
Yidiny	yidi1250
Yindjibarndi	yind1247
Yindjilandji	yind1248
Yiningay	bidy1243
Yintale	yint1235
Yirandali	yira1239
Yorta Yorta	yort1237
Yugambeh	
Yulparija	yulp1238
Yuwaalaraay	yuwa1242
Zeme	zeme1240
Zhaba	zhab1238
Adnyamathanha	adny1235
Alyawarr	alya1239
Arabana	arab1267
Banggarla	bang1339
Bayungu	bayu1240
Dhalandji	dhal1245
Dhangu	dhan1270
Dhargari	dhar1247
Dhuwal	dhuw1249
Dieri	dier1241
Djambarrpuyngu	djam1256
Djinang	djin1253
Djiwarli	djiw1241
Dyaabugay	dyaa1242
Gamilaraay	gami1243
Gupapuyngu	gupa1247
Gurdjar	gurd1238
Gurindji	guri1247
Guyani	guya1249
Jaru	jaru1254
Kala Lagaw Ya	kala1377
Kalkutung	kalk1246
Karadjeri	kara1476
Kartujarra	kart1247
Kaurna	kaur1267
Kukatja	kuka1246
Kuku-Yalanji	kuku1273
Kumbainggar	kumb1268
Kuuku-Ya'u	kuuk1238
Lower Riverland	lowe1402
Margany	marg1253
Martu Wangka	mart1256
Mudburra	mudb1240
Muruwari	muru1266
Narrinyeri	narr1259
Ngaanyatjarra	ngaa1240
Ngamini	ngam1284
Ngarinman	ngar1235
Ngarluma	ngar1287
Ngura	ngur1261
Northern Coastal Nyangumarta	nort2754
Nyamal	nyam1271
Nyangumarta	nyan1301
Nyunga	nyun1247
Paakantyi	darl1243
Panytyima	pany1241
Pitjantjatjara	pitj1243
Pitta Pitta	pitt1247
Ritarungo	rita1239
Sydney	sydn1236
Wagaya	waga1260
Wanman	wanm1242
Wariyangga	wari1262
Warlpiri	warl1254
Warumungu	waru1265
Wathawurrung	wath1238
Wik-Mungkan	wikm1247
Wiradhuri	wira1262
Yandruwandha	yand1253
Yan-nhangu	yann1237
Yawarawarga	yawa1258
Yindjibarndi	yind1247
Yorta Yorta	yort1237
Yugambeh-Bandjalang	band1339
Yulparitja	yulp1238
Yuwaalaraay	yuwa1242
